"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","CNRM-ESM2-1",2031,100.5
"SSP1 2050","CNRM-ESM2-1",2032,98.1666666666667
"SSP1 2050","CNRM-ESM2-1",2033,104.958333333333
"SSP1 2050","CNRM-ESM2-1",2034,106.333333333333
"SSP1 2050","CNRM-ESM2-1",2035,113.625
"SSP1 2050","CNRM-ESM2-1",2036,103.458333333333
"SSP1 2050","CNRM-ESM2-1",2037,114.333333333333
"SSP1 2050","CNRM-ESM2-1",2038,110.541666666667
"SSP1 2050","CNRM-ESM2-1",2039,125.833333333333
"SSP1 2050","CNRM-ESM2-1",2040,105
"SSP1 2050","CNRM-ESM2-1",2041,95.9583333333333
"SSP1 2050","CNRM-ESM2-1",2042,110.125
"SSP1 2050","CNRM-ESM2-1",2043,106.083333333333
"SSP1 2050","CNRM-ESM2-1",2044,99.2083333333333
"SSP1 2050","CNRM-ESM2-1",2045,111.083333333333
"SSP1 2050","CNRM-ESM2-1",2046,118.208333333333
"SSP1 2050","CNRM-ESM2-1",2047,101.291666666667
"SSP1 2050","CNRM-ESM2-1",2048,108.041666666667
"SSP1 2050","CNRM-ESM2-1",2049,109.5
"SSP1 2050","CNRM-ESM2-1",2050,104.208333333333
"SSP1 2050","CNRM-ESM2-1",2051,120.75
"SSP1 2050","CNRM-ESM2-1",2052,119
"SSP1 2050","CNRM-ESM2-1",2053,103.166666666667
"SSP1 2050","CNRM-ESM2-1",2054,105.083333333333
"SSP1 2050","CNRM-ESM2-1",2055,95.0833333333333
"SSP1 2050","CNRM-ESM2-1",2056,99.875
"SSP1 2050","CNRM-ESM2-1",2057,109.125
"SSP1 2050","CNRM-ESM2-1",2058,101.875
"SSP1 2050","CNRM-ESM2-1",2059,105.458333333333
"SSP1 2050","CNRM-ESM2-1",2060,104.375
"SSP1 2050","CNRM-ESM2-1",2061,110.083333333333
"SSP1 2050","CNRM-ESM2-1",2062,111.208333333333
"SSP1 2050","CNRM-ESM2-1",2063,104.041666666667
